location,count,link
"accra",11,"http://www.ghanamusicdance.org//browse.html#accra"
"tamale",4,"http://www.ghanamusicdance.org//browse.html#tamale"
"nungua, accra",4,"http://www.ghanamusicdance.org//browse.html#nungua,%20accra"
"prampram",3,"http://www.ghanamusicdance.org//browse.html#prampram"
"dzodze",3,"http://www.ghanamusicdance.org//browse.html#dzodze"
"kpando",1,"http://www.ghanamusicdance.org//browse.html#kpando"
"kumasi",1,"http://www.ghanamusicdance.org//browse.html#kumasi"
"kpeve",1,"http://www.ghanamusicdance.org//browse.html#kpeve"
