title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,object_thumb,object_download,reference_url
"Ehtnicities of Ghana","Accra : Survey Division","1966","Map showing the predmoninant boundaries of various ethnicities in Ghana","Ga; Akan; Dagbamba; Eʋe","Accra","5.55","-0.205","Library of Congress, http://hdl.loc.gov/loc.gmd/g8851e.ct001272","uighana-008","Image;StillImage","image/jpg","","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.","http://rightsstatements.org/vocab/NoC-US/1.0/","https://www.lib.uidaho.edu/digital/objects/ghana-music/thumbs/uighana-008_th.jpg","https://www.lib.uidaho.edu/digital/objects/ghana-music/uighana-008.jpg","https://thecdil.github.io//ghana-music-initiative/items/uighana-008.html"
"Kpeve ceremonial Dancer","Barry Bilderback","2018","A female dancer in the Kpeve village is seen displaying the physical embodiment of the transpossetion practice evidenced by chalk on the face, the staw skirt, and the ceremonial knife she wields. The knife is used to thrust into oneself in the straw skirt, often leaving scratches and abrasions.","Eʋe; Volta; ceremonial dance;","Kpeve","6.685259058","0.3325510045","Barry Bilderback Personal Ethnomusicology Record","uighana-009","Image;StillImage","image/jpg","","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.","http://rightsstatements.org/vocab/NoC-US/1.0/","https://www.lib.uidaho.edu/digital/objects/ghana-music/thumbs/uighana-009_th.jpg","https://www.lib.uidaho.edu/digital/objects/ghana-music/uighana-009.jpg","https://thecdil.github.io//ghana-music-initiative/items/uighana-009.html"
"Blessing of the Young Prophets","Barry Bilderback","2018","The young prophets of the Kpeve village are blessed by the outer shrine in front of a physical depiction of Mawu.","Eʋe; Volta; ceremonial dance;","Kpeve","6.685259058","0.3325510045","Barry Bilderback Personal Ethnomusicology Record","uighana-010","Image;StillImage","image/jpg","","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.","http://rightsstatements.org/vocab/NoC-US/1.0/","https://www.lib.uidaho.edu/digital/objects/ghana-music/thumbs/uighana-010_th.jpg","https://www.lib.uidaho.edu/digital/objects/ghana-music/uighana-010.jpg","https://thecdil.github.io//ghana-music-initiative/items/uighana-010.html"
"Kpando ceremonial Dancer","Barry Bilderback","2018","A dancer in the Kpando village prepares for a ceremonial dance evidenced by the straw skirt.","Eʋe; Volta; ceremonial dance;","Kpando","6.994797409","0.2944420481","Barry Bilderback Personal Ethnomusicology Record","uighana-011","Image;StillImage","image/jpg","","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.","http://rightsstatements.org/vocab/NoC-US/1.0/","https://www.lib.uidaho.edu/digital/objects/ghana-music/thumbs/uighana-011_th.jpg","https://www.lib.uidaho.edu/digital/objects/ghana-music/uighana-011.jpg","https://thecdil.github.io//ghana-music-initiative/items/uighana-011.html"
"Tamale Circular Dance","Barry Bilderback","2018","Dancers in Tamale Gather in a circle for a community performance. ","Dagbamba; northern; ","Tamale","9.400722322","-0.8377277218","Barry Bilderback Personal Ethnomusicology Record","uighana-012","Image;StillImage","image/jpg","","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.","http://rightsstatements.org/vocab/NoC-US/1.0/","https://www.lib.uidaho.edu/digital/objects/ghana-music/thumbs/uighana-012_th.jpg","https://www.lib.uidaho.edu/digital/objects/ghana-music/uighana-012.jpg","https://thecdil.github.io//ghana-music-initiative/items/uighana-012.html"
"Kusun Cultral Center: Ga Perform Eʋe","Barry Bilderback","2018","Dancers at the Kusun Cultural Center in Nungua perform a variation of a traditional Eʋe dance with Ga ensemble accompaniment. Hunor Gatukpe Dogah directs the ensemble.","Accra; Ga; Eʋe; Nungua","Nungua, Accra","5.602882059","-0.1862804716","Barry Bilderback Personal Ethnomusicology Record","uighana-013","Image;StillImage","image/jpg","","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.","http://rightsstatements.org/vocab/NoC-US/1.0/","https://www.lib.uidaho.edu/digital/objects/ghana-music/thumbs/uighana-013_th.jpg","https://www.lib.uidaho.edu/digital/objects/ghana-music/uighana-013.jpg","https://thecdil.github.io//ghana-music-initiative/items/uighana-013.html"
"Kusun Cultral Center: Ga Perform Eʋe","Barry Bilderback","2018","Dancers at the Kusun Cultural Center in Nungua perform a variation of a traditional Eʋe dance with Ga ensemble accompaniment. Hunor Gatukpe Dogah directs the ensemble.","Accra; Ga; Eʋe; Nungua","Nungua, Accra","5.602882059","-0.1862804716","Barry Bilderback Personal Ethnomusicology Record","uighana-014","Image;StillImage","image/jpg","","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.","http://rightsstatements.org/vocab/NoC-US/1.0/","https://www.lib.uidaho.edu/digital/objects/ghana-music/thumbs/uighana-014_th.jpg","https://www.lib.uidaho.edu/digital/objects/ghana-music/uighana-014.jpg","https://thecdil.github.io//ghana-music-initiative/items/uighana-014.html"
"Kusun Cultral Center: Ga Perform Eʋe","Barry Bilderback","2018","Dancers at the Kusun Cultural Center in Nungua perform a variation of a traditional Eʋe dance with Ga ensemble accompaniment. Hunor Gatukpe Dogah directs the ensemble.","Accra; Ga; Eʋe; Nungua","Nungua, Accra","5.602882059","-0.1862804716","Barry Bilderback Personal Ethnomusicology Record","uighana-015","Image;StillImage","image/jpg","","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.","http://rightsstatements.org/vocab/NoC-US/1.0/","https://www.lib.uidaho.edu/digital/objects/ghana-music/thumbs/uighana-015_th.jpg","https://www.lib.uidaho.edu/digital/objects/ghana-music/uighana-015.jpg","https://thecdil.github.io//ghana-music-initiative/items/uighana-015.html"
"Kusun Cultral Center: Ga Perform Eʋe","Barry Bilderback","2018","Dancers at the Kusun Cultural Center in Nungua perform a variation of a traditional Eʋe dance with Ga ensemble accompaniment. Hunor Gatukpe Dogah directs the ensemble.","Accra; Ga; Eʋe; Nungua","Nungua, Accra","5.602882059","-0.1862804716","Barry Bilderback Personal Ethnomusicology Record","uighana-016","Image;StillImage","image/jpg","","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.","http://rightsstatements.org/vocab/NoC-US/1.0/","https://www.lib.uidaho.edu/digital/objects/ghana-music/thumbs/uighana-016_th.jpg","https://www.lib.uidaho.edu/digital/objects/ghana-music/uighana-016.jpg","https://thecdil.github.io//ghana-music-initiative/items/uighana-016.html"
"Homowo Festival","Barry Bilderback","2018","Elders dressed in white process through the road as part of the Homowo festival.","Homowo; Ga; harvest;","Prampram","5.724073591","0.1134711943","Barry Bilderback Personal Ethnomusicology Record","uighana-017","Image;StillImage","image/jpg","","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.","http://rightsstatements.org/vocab/NoC-US/1.0/","https://www.lib.uidaho.edu/digital/objects/ghana-music/thumbs/uighana-017_th.jpg","https://www.lib.uidaho.edu/digital/objects/ghana-music/uighana-017.jpg","https://thecdil.github.io//ghana-music-initiative/items/uighana-017.html"
