objectid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,resource,object_template,object_download,image_small,image_thumb
uighana-008,Ehtnicities of Ghana,Accra : Survey Division,1966,Map showing the predmoninant boundaries of various ethnicities in Ghana,Ga; Akan; Dagbamba; Eʋe,Accra,5.55,-0.205,"Library of Congress, http://hdl.loc.gov/loc.gmd/g8851e.ct001272",uighana-008,Image;StillImage,image/jpg,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/NoC-US/1.0/,,item_image,https://www.lib.uidaho.edu/digital/objects/ghana-music/uighana-008.jpg,https://www.lib.uidaho.edu/digital/objects/ghana-music/small/uighana-008_sm.jpg,https://www.lib.uidaho.edu/digital/objects/ghana-music/thumbs/uighana-008_th.jpg
uighana-011,Kpando ceremonial Dancer,Barry Bilderback,2018,A dancer in the Kpando village prepares for a ceremonial dance evidenced by the straw skirt.,Eʋe; Volta; ceremonial dance;,Kpando,6.994797409,0.2944420481,Barry Bilderback Personal Ethnomusicology Record,uighana-011,Image;StillImage,image/jpg,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/NoC-US/1.0/,,item_image,https://www.lib.uidaho.edu/digital/objects/ghana-music/uighana-011.jpg,https://www.lib.uidaho.edu/digital/objects/ghana-music/small/uighana-011_sm.jpg,https://www.lib.uidaho.edu/digital/objects/ghana-music/thumbs/uighana-011_th.jpg
uighana-012,Tamale Circular Dance,Barry Bilderback,2018,Dancers in Tamale gather in a circle for a community performance. ,Dagbamba; northern; ,Tamale,9.400722322,-0.8377277218,Barry Bilderback Personal Ethnomusicology Record,uighana-012,Image;StillImage,image/jpg,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/NoC-US/1.0/,,item_image,https://www.lib.uidaho.edu/digital/objects/ghana-music/uighana-012.jpg,https://www.lib.uidaho.edu/digital/objects/ghana-music/small/uighana-012_sm.jpg,https://www.lib.uidaho.edu/digital/objects/ghana-music/thumbs/uighana-012_th.jpg
uighana-013,Kusun Cultral Center: Ga Perform Eʋe,Barry Bilderback,2018,Dancers at the Kusun Cultural Center in Nungua perform a variation of a traditional Eʋe dance with Ga ensemble accompaniment. Hunor Gatukpe Dogah directs the ensemble.,Accra; Ga; Eʋe; Nungua,"Nungua, Accra",5.602882059,-0.1862804716,Barry Bilderback Personal Ethnomusicology Record,uighana-013,Image;StillImage,image/jpg,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/NoC-US/1.0/,,item_image,https://www.lib.uidaho.edu/digital/objects/ghana-music/uighana-013.jpg,https://www.lib.uidaho.edu/digital/objects/ghana-music/small/uighana-013_sm.jpg,https://www.lib.uidaho.edu/digital/objects/ghana-music/thumbs/uighana-013_th.jpg
uighana-014,Kusun Cultral Center: Ga Perform Eʋe,Barry Bilderback,2018,Dancers at the Kusun Cultural Center in Nungua perform a variation of a traditional Eʋe dance with Ga ensemble accompaniment. Hunor Gatukpe Dogah directs the ensemble.,Accra; Ga; Eʋe; Nungua,"Nungua, Accra",5.602882059,-0.1862804716,Barry Bilderback Personal Ethnomusicology Record,uighana-014,Image;StillImage,image/jpg,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/NoC-US/1.0/,,item_image,https://www.lib.uidaho.edu/digital/objects/ghana-music/uighana-014.jpg,https://www.lib.uidaho.edu/digital/objects/ghana-music/small/uighana-014_sm.jpg,https://www.lib.uidaho.edu/digital/objects/ghana-music/thumbs/uighana-014_th.jpg
uighana-015,Kusun Cultral Center: Ga Perform Eʋe,Barry Bilderback,2018,Dancers at the Kusun Cultural Center in Nungua perform a variation of a traditional Eʋe dance with Ga ensemble accompaniment. Hunor Gatukpe Dogah directs the ensemble. Both dancers seems to be wearing skirts used in the adzogbo dance.,Accra; Ga; Eʋe; Nungua; adzogbo;,"Nungua, Accra",5.602882059,-0.1862804716,Barry Bilderback Personal Ethnomusicology Record,uighana-015,Image;StillImage,image/jpg,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/NoC-US/1.0/,"<a href='/ghana-music-initiative/bibliography.html#nii-yartey'>Nii-Yartey, Francis, Marian Horowitz, Andrews K. Agyemfra-Tettey, and Nketia J H Kwabena. <em>African Dance in Ghana: Contemporary Transformations</em>. London: Mot Juste Limited, 2016.</a></br><a href='/ghana-music-initiative/bibliography.html#younge'>Younge, Paschal Yao. <em>Music and Dance Traditions of Ghana: History, Performance, and Teaching</em>. McFarland & Co., 2011.</a>",item_image,https://www.lib.uidaho.edu/digital/objects/ghana-music/uighana-015.jpg,https://www.lib.uidaho.edu/digital/objects/ghana-music/small/uighana-015_sm.jpg,https://www.lib.uidaho.edu/digital/objects/ghana-music/thumbs/uighana-015_th.jpg
uighana-016,Kusun Cultral Center: Ga Perform Eʋe,Barry Bilderback,2018,Dancers at the Kusun Cultural Center in Nungua perform a variation of a traditional Eʋe dance with Ga ensemble accompaniment. Hunor Gatukpe Dogah directs the ensemble. Both dancers seems to be wearing skirts used in the adzogbo dance.,Accra; Ga; Eʋe; Nungua; adzogbo;,"Nungua, Accra",5.602882059,-0.1862804716,Barry Bilderback Personal Ethnomusicology Record,uighana-016,Image;StillImage,image/jpg,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/NoC-US/1.0/,"<a href='/ghana-music-initiative/bibliography.html#nii-yartey'>Nii-Yartey, Francis, Marian Horowitz, Andrews K. Agyemfra-Tettey, and Nketia J H Kwabena. <em>African Dance in Ghana: Contemporary Transformations</em>. London: Mot Juste Limited, 2016.</a></br><a href='/ghana-music-initiative/bibliography.html#younge'>Younge, Paschal Yao. <em>Music and Dance Traditions of Ghana: History, Performance, and Teaching</em>. McFarland & Co., 2011.</a>",item_image,https://www.lib.uidaho.edu/digital/objects/ghana-music/uighana-016.jpg,https://www.lib.uidaho.edu/digital/objects/ghana-music/small/uighana-016_sm.jpg,https://www.lib.uidaho.edu/digital/objects/ghana-music/thumbs/uighana-016_th.jpg
uighana-017,Homowo Festival,Barry Bilderback,2018,Elders dressed in white process through the road as part of the Homowo festival.,Homowo; Ga; harvest;,Prampram,5.724073591,0.1134711943,Barry Bilderback Personal Ethnomusicology Record,uighana-017,Image;StillImage,image/jpg,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/NoC-US/1.0/,,item_image,https://www.lib.uidaho.edu/digital/objects/ghana-music/uighana-017.jpg,https://www.lib.uidaho.edu/digital/objects/ghana-music/small/uighana-017_sm.jpg,https://www.lib.uidaho.edu/digital/objects/ghana-music/thumbs/uighana-017_th.jpg
uighana-018,Akan Instruments at the Manhyia Palace Museum,Barry Bilderback,2018,"Various drums on display at the Manhyia Palace Museum. The two bottle-neck drums are constructed of wood, silver, and animal hyde and date back to the late 19th century.",Akan; instruments; Ashanti,Kumasi,6.703624138,-1.615832474,Barry Bilderback Personal Ethnomusicology Record,uighana-018,Image;StillImage,image/jpg,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/NoC-US/1.0/,,item_image,https://www.lib.uidaho.edu/digital/objects/ghana-music/uighana-018.jpg,https://www.lib.uidaho.edu/digital/objects/ghana-music/small/uighana-018_sm.jpg,https://www.lib.uidaho.edu/digital/objects/ghana-music/thumbs/uighana-018_th.jpg
uighana-019,Tamale Houses,Barry Bilderback,2018,Houses in Tamale indicative by the clay walls and foundation with the straw thatched roofs.,Dagbamba; Tamale; houses,Tamale,9.400722322,-0.8377277218,Barry Bilderback Personal Ethnomusicology Record,uighana-019,Image;StillImage,image/jpg,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/NoC-US/1.0/,,item_image,https://www.lib.uidaho.edu/digital/objects/ghana-music/uighana-019.jpg,https://www.lib.uidaho.edu/digital/objects/ghana-music/small/uighana-019_sm.jpg,https://www.lib.uidaho.edu/digital/objects/ghana-music/thumbs/uighana-019_th.jpg
